distance_m,fixed_rmse_m,hop_rmse_m,softR_rmse_m,hop_gain_vs_fixed_m,softR_gain_vs_hop_m,softR_gain_vs_fixed_m,softR_tail_worsened_vs_hop
0,4.445,4.700,4.700,-0.255,-0.000,-0.255,0.000
100,1.733,1.656,1.581,0.077,0.075,0.152,0.000
200,8.935,8.792,3.959,0.143,4.833,4.976,0.000
300,10.086,8.758,4.513,1.328,4.245,5.573,0.000
400,11.840,9.802,5.511,2.037,4.292,6.329,0.021
500,14.140,11.302,6.342,2.838,4.960,7.798,0.021
600,14.738,13.252,8.381,1.486,4.872,6.358,0.021
700,14.821,12.594,9.110,2.228,3.483,5.711,0.104
800,17.696,22.386,10.828,-4.690,11.557,6.867,0.042
900,17.420,16.671,12.292,0.749,4.379,5.128,0.062
1000,18.189,14.792,14.062,3.397,0.730,4.127,0.042

